title,year,genre,cast_hint,director,plot_hint,tagline_text
The Revenant,2015,"Western, Drama, Adventure","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson",,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",Blood lost. Life found.
The Right Stuff,1983,"Drama, History, Adventure","Sam Shepard, Scott Glenn, Ed Harris",,"At the dawn of the Space Race, seven test pilots set out to become the first American astronauts to enter space. However, the road to making history brings momentous challenges.",How the future began.
The Rock,1996,"Action, Adventure, Thriller","Sean Connery, Nicolas Cage, Ed Harris",,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.",Alcatraz. Only one man has ever broken out. Now five million lives depend on two men breaking in.
The Santa Clause,1994,"Fantasy, Drama, Comedy","Tim Allen, Judge Reinhold, Wendy Crewson",,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.","This Christmas, the snow hits the fan."
The Secret Agent,2025,"Thriller, Drama, Crime","Wagner Moura, Alice Carvalho, Gabriel Leone",,"Brazil, 1977. Marcelo, a technology expert in his early 40s, is on the run. Hoping to reunite with his son, he travels to Recife during Carnival but soon realizes that the city is not the safe haven he was expecting.","Brazil 1977, a time of great mischief."
The Secret Life of Pets 2,2019,"Adventure, Animation, Comedy","Patton Oswalt, Kevin Hart, Eric Stonestreet",,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",They still have their secrets.
The Shape of Water,2017,"Drama, Fantasy, Romance","Sally Hawkins, Michael Shannon, Richard Jenkins",,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",A fairy tale for troubled times.
The Social Network,2010,Drama,"Jesse Eisenberg, Andrew Garfield, Armie Hammer",,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",You don't get to 500 million friends without making a few enemies.
The Spy Who Loved Me,1977,"Adventure, Action, Thriller","Roger Moore, Barbara Bach, Curd Jürgens",,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.
The Sting,1973,"Comedy, Crime, Drama","Paul Newman, Robert Redford, Robert Shaw",,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,...all it takes is a little confidence.
The Substance,2024,"Horror, Science Fiction, Thriller","Demi Moore, Margaret Qualley, Dennis Quaid",,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Have you ever dreamt of a better version of yourself?
The Suicide Squad,2021,"Action, Comedy, Adventure","Margot Robbie, Idris Elba, John Cena",,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",They’re dying to save the world.
The Super Mario Bros. Movie,2023,"Family, Comedy, Adventure","Chris Pratt, Anya Taylor-Joy, Charlie Day",,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",Not all heroes wear capes. Some wear overalls.
The Texas Chain Saw Massacre,1974,Horror,"Marilyn Burns, Allen Danziger, Paul A. Partain",,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way, they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",Who will survive and what will be left of them?
The Theory of Everything,2014,"Drama, Romance","Eddie Redmayne, Felicity Jones, Charlie Cox",,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",His mind changed our world. Her love changed his.
The Thin Red Line,1998,"Drama, History, War","Jim Caviezel, Nick Nolte, Sean Penn",,"The story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer, and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey, from the surprise of an unopposed landing, through the bloody and exhausting battles that follow, to the ultimate departure of those who survived.",Every man fights his own war.
The Thing,1982,"Horror, Mystery, Science Fiction","Kurt Russell, Wilford Brimley, T.K. Carter",,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Anytime. Anywhere. Anyone.
The Towering Inferno,1974,"Action, Drama, Thriller","Steve McQueen, Paul Newman, William Holden",,"At the opening party of a colossal—but poorly constructed—skyscraper, a massive fire breaks out, threatening to destroy the tower and everyone in it.",One tiny spark becomes a night of blazing suspense.
The Tree of Life,2011,"Drama, Fantasy","Brad Pitt, Jessica Chastain, Hunter McCracken",,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",Nothing stands still.
The Trial of Billy Jack,1974,"Action, Drama, Music","Tom Laughlin, Delores Taylor, Victor Izay",,"After Billy Jack in sentenced to four years in prison for the ""involuntary manslaughter"" of the first film, the Freedom School expands and flourishes under the guidance of Jean Roberts. The utopian existence of the school is characterized by everything ranging from ""yoga sports"" to muckracking journalism. The diverse student population airs scathing political exposes on their privately owned television station. The narrow-minded townspeople have different ideas about their brand of liberalism. Billy Jack is released and things heat up for the school. Students are threatened and abused and the Native Americans in the neighboring village are taunted and mistreated. After Billy Jack undergoes a vision quest, the governor and the police plot to permanently put an end to their liberal shenanigans, leaving it up to Billy Jack to save the day.",It takes up where Billy Jack left off
The Trial of the Chicago 7,2020,"Drama, History","Eddie Redmayne, Sacha Baron Cohen, Mark Rylance",,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,"In 1968, democracy refused to back down."
The Truman Show,1998,"Comedy, Drama","Jim Carrey, Laura Linney, Noah Emmerich",,"In a picture-perfect seaside town, an insurance salesman begins to realize that his entire existence may be staged and observed by a vast unseen audience as part of a long-running real-time reality TV show.",On the air. Unaware.
The Turning Point,1977,"Drama, Romance","Anne Bancroft, Shirley MacLaine, Tom Skerritt",,"As young dancers, they were best friends and fierce rivals. Deedee left the stage for marriage and motherhood, while Emma would become an international ballet icon. But when Deedee's teenage daughter is invited to join Emma's dance company and begins an affair with a young Russian star, the two women are forced to confront the choices they've made, the resentments they've hidden and the emotional truths they must face at the turning point.",The generations change. But the choices remain the same.
